ADMINLINK,EMPLOYEE,WAVE,SCWM_CWH,RMZFN,STUDYGROUP,CONDITION,SCEM_DISTI,SCEM_STRSI,SCWM_FTWCI,SCWM_WTFCI,SCWM_TIMEALLI
T0105,1,2,3.5,2,11,1,9.0,7,1.0,5.0,3.285714285714
T0105,1,3,3.5,2,11,1,6.0,6,2.0,3.6,3
T0105,1,4,3.25,2,11,1,6.0,5,2.0,3.6,4
T0106,1,1,2.25,2,11,1,21.0,14,2.2,4.4,3.285714285714
T0106,1,2,2.625,2,11,1,15.0,12,2.2,3.8,3.285714285714
T0106,1,3,2.5,2,11,1,21.0,12,2.2,3.8,-8
T0106,1,4,3.0,2,11,1,14.0,11,2.2,3.6,3.714285714286
T0107,0,1,3.75,2,15,1,9.0, ,1.4,3.0,4.142857142857
T0107,0,2,4.75,2,15,1,8.0, ,2.2,3.0,4
T0107,0,3,4.625,2,15,1,9.0, ,2.2,1.6,4.142857142857
T0107,0,4,4.5,2,15,1,7.0, ,1.6,2.2,4.285714285714
T0108,1,1,3.75,2,15,1,7.0,5,1.2,1.4,5
T0108,1,2,4.5,2,15,1,8.0,5,1.0,1.2,3.666666666667
T0108,1,3,-8.0,2,15,1,8.0,5,1.0,1.0,4
T0108,1,4,-8.0,2,15,1,8.0,6,1.0,1.0,4.333333333333
T0109,1,1,4.375,2,15,1,8.0,7,1.8,3.2,4
T0109,1,2,4.0,2,15,1,10.0,6,2.0,2.0,4
T0109,1,3,3.75,2,15,1,9.0,6,1.6,2.0,3.666666666667
T0109,1,4,4.25,2,15,1,9.0,6,1.4,2.4,3.666666666667
T0110,1,1,3.5,2,15,1,10.0,6,1.8,3.4,2.714285714286
T0110,1,2,3.5,2,15,1,10.0,7,1.8,4.0,3.714285714286
T0111,1,1,2.875,2,15,1,8.0,5,2.4,3.8,3.142857142857
T0111,1,2,2.5,2,15,1,8.0,5,2.0,3.4,2.714285714286
T0111,1,3,3.625,2,15,1,8.0,5,1.4,2.8,3.428571428571
T0111,1,4,4.0,2,15,1,9.0,4,1.4,2.2,4.142857142857
T0112,1,1,3.375,2,15,1,7.0,8,2.8,2.2,3.142857142857
T0112,1,2,4.0,2,15,1,9.0,8,2.8,2.0,2.857142857143
T0112,1,3,4.125,2,15,1,9.0,5,2.0,2.6,4
T0112,1,4,4.125,2,15,1,9.0,5,2.8,2.0,3.285714285714
T0113,0,1,4.125,2,4,1,9.0, ,2.6,2.6,3.285714285714
T0113,0,2,3.625,2,4,1,7.0, ,2.0,2.0,4.571428571429
T0113,0,3,4.0,2,4,1,11.0, ,1.0,2.6,4
T0113,0,4,4.5,2,4,1,18.0, ,1.2,3.8,3.857142857143
T0114,1,1,3.875,2,4,1,13.0,8,2.2,5.0,4
T0114,1,2,4.375,2,4,1,17.0,8,1.8,5.0,4.5
T0115,1,1,3.375,2,16,1,13.0,8,1.8,2.6,3.714285714286
T0115,1,2,3.625,2,16,1,13.0,12,2.0,3.2,3.428571428571
T0115,1,3,2.375,2,16,1,10.0,8,2.0,2.4,3.571428571429
T0116,1,1,2.625,2,16,1,12.0,8,2.0,2.0,3.857142857143
T0116,1,2,2.375,2,16,1,11.0,10,2.0,2.0,3.142857142857
T0116,1,3,2.625,2,16,1,10.0,8,2.0,2.0,4
T0116,1,4,2.875,2,16,1,13.0,9,2.0,2.0,3.714285714286
T0117,1,1,2.875,2,16,1,17.0,10,2.0,3.2,3.5
T0117,1,2,2.75,2,16,1,20.0,16,2.0,3.4,3
T0117,1,3,3.375,2,16,1,12.0,7,2.0,2.2,3
T0117,1,4,2.625,2,16,1,16.0,14,2.0,3.0,2.666666666667
T0118,1,1,3.375,2,16,1,8.0,8,1.0,1.6,4.142857142857
T0119,1,1,2.375,2,16,1,9.0,7,2.2,2.6,3.714285714286
T0119,1,2,4.125,2,16,1,6.0,4,2.0,2.0,4.571428571429
T0119,1,3,4.5,2,16,1,7.0,6,1.0,1.4,5
T0120,1,1,2.75,2,16,1,8.0,7,2.0,2.0,3.857142857143
T0120,1,2,2.5,2,16,1,8.0,8,1.8,1.8,3.571428571429
T0120,1,3,2.875,2,16,1,8.0,7,1.6,2.2,3.857142857143
T0120,1,4,3.375,2,16,1,8.0,8,2.2,2.0,4.285714285714
T0121,0,1,2.375,2,41,1,9.0, ,2.0,3.6,3.333333333333
T0121,0,3,3.125,2,41,1,9.0, ,2.0,3.6,4
T0121,0,4,4.0,2,41,1,8.0, ,2.0,2.4,4
T0122,1,1,2.25,2,41,1,10.0,15,2.4,4.2,3
T0122,1,2,2.375,2,41,1,11.0,14,2.6,4.0,3.166666666667
T0122,1,3,3.375,2,41,1,11.0,13,2.8,4.0,-8
T0122,1,4,3.0,2,41,1,9.0,10,2.4,4.2,3.833333333333
T0123,1,1,3.375,2,41,1,13.0,8,3.0,3.2,3.5
T0123,1,2,-8.0,2,41,1,13.0,9,2.8,3.8,3.5
T0123,1,3,-8.0,2,41,1,9.0,9,2.6,3.0,4
T0123,1,4,3.625,2,41,1,9.0,9,2.0,2.6,4
T0124,1,1,4.0,2,41,1,15.0,13,2.0,2.4,3
T0124,1,3,4.125,2,41,1,17.0,14,2.4,2.0,-8
T0124,1,4,4.25,2,41,1,22.0,11,1.6,1.8,4.666666666667
T0125,1,1,2.875,2,41,1,11.0,13,2.0,4.6,2.285714285714
T0125,1,2,2.375,2,41,1,11.0,14,2.6,4.0,3
T0125,1,3,2.75,2,41,1,12.0,10,2.4,4.6,3
T0125,1,4,2.75,2,41,1,11.0,13,2.6,4.0,3.333333333333
T0126,1,1,-8.0,2,41,1,11.0,7,2.0,2.4,4
T0126,1,2,3.75,2,41,1,10.0,7,2.0,2.4,3
T0126,1,3,3.125,2,41,1,11.0,6,2.0,2.6,4
T0127,1,1,3.125,2,41,1,9.0,8,2.0,2.6,3.333333333333
T0127,1,2,3.0,2,41,1,8.0,4,2.0,2.4,3.666666666667
T0127,1,4,3.625,2,41,1,8.0,4,2.0,2.2,4
T0128,0,1,4.0,2,16,1,9.0, ,1.6,2.8,4
T0128,0,2,4.25,2,16,1,8.0, ,1.2,2.0,3.666666666667
T0128,0,3,3.875,2,16,1,7.0, ,1.2,2.6,3.666666666667
T0128,0,4,3.875,2,16,1,9.0, ,1.6,3.6,3.666666666667
T0129,1,1,3.25,2,16,1,9.0,9,2.0,2.2,4.142857142857
T0129,1,2,2.875,2,16,1,12.0,10,2.4,2.6,3.714285714286
T0129,1,3,3.875,2,16,1,9.0,9,1.2,2.4,4
T0130,0,1,4.5,2,16,1,6.0, ,2.0,2.2,4.285714285714
T0130,0,2,4.5,2,16,1,6.0, ,1.8,2.0,4.142857142857
T0130,0,3,4.375,2,16,1,6.0, ,2.0,2.2,4.285714285714
T0130,0,4,4.5,2,16,1,6.0, ,2.0,2.0,4.142857142857
T0131,1,1,4.625,2,16,1,8.0,6,1.0,1.4,3
T0131,1,2,4.75,2,16,1,10.0,9,1.4,3.0,2.666666666667
T0131,1,3,4.625,2,16,1,10.0,10,1.2,2.8,3.333333333333
T0131,1,4,4.25,2,16,1,9.0,5,1.0,2.0,4
T0132,1,1,3.625,2,16,1,6.0,4,1.4,2.6,3.666666666667
T0132,1,2,3.0,2,16,1,7.0,5,1.4,2.4,3.666666666667
T0132,1,3,3.875,2,16,1,6.0,5,1.2,1.6,-8
T0132,1,4,4.0,2,16,1,7.0,5,1.0,1.2,4.285714285714
T0133,1,1,3.75,2,16,1,14.0,9,2.0,3.2,3
T0133,1,2,4.5,2,16,1,14.0,10,2.0,2.0,3
T0133,1,3,4.0,2,16,1,14.0,11,2.0,2.0,3.333333333333
T0133,1,4,4.25,2,16,1,11.0,9,2.0,2.0,3.571428571429
T0134,1,1,4.0,2,16,1,10.0,5,2.0,2.4,3.857142857143
T0134,1,2,3.5,2,16,1,9.0,8,2.0,3.4,3.714285714286
T0134,1,3,4.375,2,16,1,8.0,7,2.0,2.4,4
T0134,1,4,3.875,2,16,1,10.0,7,2.0,2.6,3.714285714286
T0135,0,1,3.875,2,41,1,8.0, ,2.0,2.2,4
T0135,0,2,3.75,2,41,1,8.0, ,1.8,2.8,3.666666666667
T0135,0,3,4.0,2,41,1,8.0, ,1.6,2.2,3.666666666667
T0135,0,4,4.0,2,41,1,7.0, ,2.0,1.8,3.666666666667
T0136,1,1,3.125,2,41,1,8.0,8,2.6,4.6,3.142857142857
T0136,1,2,2.875,2,41,1,7.0,8,3.2,4.0,2.857142857143
T0136,1,3,2.75,2,41,1,10.0,12,2.4,4.6,3.142857142857
T0136,1,4,2.5,2,41,1,11.0,9,2.8,4.0,3
T0137,1,1,3.625,2,41,1,14.0,13,2.0,3.8,4.285714285714
T0137,1,2,3.625,2,41,1,13.0,11,2.2,3.8,4.285714285714
T0137,1,3,3.375,2,41,1,11.0,11,2.4,3.6,4.285714285714
T0137,1,4,3.625,2,41,1,12.0,14,2.0,3.6,4
T0138,1,1,-8.0,2,41,1,8.0,4,1.0,2.8,4
T0138,1,2,4.625,2,41,1,12.0,6,1.4,3.8, 
T0138,1,3,4.75,2,41,1,8.0,5,1.0,1.8,3
T0138,1,4,4.375,2,41,1,9.0,6,1.8,2.8,3
T0139,0,1,2.25,2,16,1,13.0, ,1.0,3.4,4
T0139,0,2,3.25,2,16,1,13.0, ,2.0,2.8,3.857142857143
T0139,0,3,3.25,2,16,1,12.0, ,1.8,2.8,3.857142857143
T0139,0,4,2.75,2,16,1,13.0, ,1.6,3.4,3.571428571429
T0140,1,1,2.875,2,16,1,11.0,6,2.0,3.4,3.333333333333
T0140,1,2,-8.0,2,16,1,8.0,4,1.0,1.2,5
T0140,1,3,5.0,2,16,1,6.0,4,1.0,1.0,5
T0140,1,4,4.75,2,16,1,8.0,6,1.0,1.0,5
T0141,0,1,2.75,2,16,1,11.0, ,2.0,4.0,3.428571428571
T0141,0,2,3.75,2,16,1,11.0, ,2.0,3.8,3.285714285714
T0141,0,3,2.75,2,16,1,11.0, ,2.2,3.4,3
T0141,0,4,2.875,2,16,1,9.0, ,2.8,3.4,3
T0142,1,1,4.25,2,16,1,10.0,9,2.2,4.2,3.285714285714
T0143,1,1,3.5,2,16,1,7.0,12,2.0,2.6,2.666666666667
T0143,1,2,-8.0,2,16,1,9.0,12,2.0,2.0,2.666666666667
T0143,1,3,3.75,2,16,1,10.0,8,2.0,2.2,3.666666666667
T0143,1,4,3.75,2,16,1,9.0,8,2.6,2.0,4.142857142857
T0144,0,1,4.25,2,16,1,12.0, ,2.2,3.6,3.285714285714
T0144,0,2,4.25,2,16,1,7.0, ,2.4,3.4,3.428571428571
T0144,0,3,4.625,2,16,1,10.0, ,2.0,3.8,3.714285714286
T0144,0,4,4.375,2,16,1,11.0, ,2.0,3.0,3.571428571429
T0145,1,1,3.0,2,16,1,10.0,9,2.8,2.6,2.5
T0145,1,2,4.25,2,16,1,12.0,7,2.0,2.2,3
T0145,1,3,4.0,2,16,1,10.0,9,2.0,2.4,2.5
T0146,1,1,3.125,2,16,1,12.0,8,1.8,2.2,4
T0147,0,1,4.625,2,16,1,12.0, ,1.4,3.6,3.5
T0147,0,2,4.0,2,16,1,10.0, ,1.6,3.4,3
T0147,0,3,4.0,2,16,1,10.0, ,2.0,2.0,4
T0147,0,4,4.125,2,16,1,12.0, ,2.0,3.8,3
T0148,1,1,4.375,2,16,1,9.0,8,1.2,3.8,3.333333333333
T0148,1,2,3.875,2,16,1,8.0,8,1.6,3.2,3
T0148,1,3,4.5,2,16,1,11.0,8,1.8,3.4,3.666666666667
T0148,1,4,4.0,2,16,1,9.0,7,1.4,3.0,4
T0149,1,1,2.875,2,16,1,12.0,9,1.4,2.8,4
T0149,1,2,4.125,2,16,1,10.0,6,1.2,2.6,4.333333333333
T0149,1,3,3.5,2,16,1,9.0,4,2.0,3.0,4.666666666667
T0149,1,4,3.625,2,16,1,9.0,6,1.6,2.4,3.666666666667
T0150,1,1,3.0,2,16,1,9.0,7,2.0,3.6,3.333333333333
T0150,1,2,4.0,2,16,1,10.0,8,2.0,3.6,4
T0150,1,3,4.0,2,16,1,13.0,7,2.6,3.2,3.666666666667
T0150,1,4,2.875,2,16,1,12.0,9,1.8,4.0,2.666666666667
T0151,0,1,4.5,2,35,1,12.0, ,4.4,5.0,3.5
T0151,0,2,4.5,2,35,1,12.0, ,4.0,4.8,3
T0151,0,3,4.375,2,35,1,10.0, ,4.2,4.4,3
T0151,0,4,4.0,2,35,1,11.0, ,3.2,4.0,3.5
T0152,1,1,3.625,2,35,1,11.0,10,2.2,4.2,2.333333333333
T0152,1,2,4.125,2,35,1,12.0,10,2.4,4.4,2
T0152,1,3,4.25,2,35,1,9.0,9,2.0,3.8,3
T0152,1,4,4.0,2,35,1,10.0,6,3.0,4.4,2.666666666667
T0153,1,1,2.25,2,35,1,12.0,10,2.0,2.8,3.714285714286
T0153,1,2,3.75,2,35,1,8.0,6,2.0,2.4,4
T0153,1,4,4.0,2,35,1,8.0,5,2.0,2.0,4.857142857143
T0154,1,1,4.25,2,35,1,14.0,7,2.0,3.8,3.428571428571
T0155,1,1,4.25,2,35,1,7.0,4,1.8,5.0,3.166666666667
T0155,1,2,4.5,2,35,1,6.0,4,1.2,2.2,4.333333333333
T0155,1,3,4.5,2,35,1,6.0,4,1.0,4.0,4.166666666667
T0155,1,4,3.875,2,35,1,8.0,4,1.8,5.0,3.833333333333
T0156,1,1,3.25,2,35,1,6.0,4,2.0,2.4,3.857142857143
T0157,1,1,3.0,2,35,1,10.0,9,2.0,2.8,4
T0158,0,1,3.625,2,16,1,8.0, ,2.0,2.4,4.142857142857
T0158,0,2,4.25,2,16,1,9.0, ,1.8,2.0,4.428571428571
T0158,0,3,4.375,2,16,1,9.0, ,2.0,2.4,4.571428571429
T0158,0,4,4.5,2,16,1,8.0, ,2.0,2.0,4.142857142857
T0159,1,1,4.0,2,16,1,13.0,10,3.0,2.8,4
T0159,1,2,3.0,2,16,1,13.0,11,3.0,4.4,3
T0159,1,3,-8.0,2,16,1,13.0,12,2.4,4.0,3
T0159,1,4,3.375,2,16,1,15.0,12,2.0,4.0,3
T0160,1,1,3.5,2,16,1,8.0,7,2.2,4.2,3.714285714286
T0160,1,2,3.75,2,16,1,9.0,9,2.4,3.4,2.571428571429
T0160,1,3,3.75,2,16,1,8.0,8,2.2,3.6,4
T0161,0,1,3.0,2,35,1,11.0, ,1.6,3.0,3
T0161,0,2,3.0,2,35,1,12.0, ,1.6,3.0,2.666666666667
T0161,0,3,3.125,2,35,1,12.0, ,1.8,2.4,3
T0161,0,4,2.75,2,35,1,9.0, ,1.8,3.0,2.666666666667
T0162,1,1,-8.0,2,35,1,7.0,10,2.0,2.0,5
T0162,1,2,4.5,2,35,1,8.0,8,2.0,2.0,4.714285714286
T0162,1,3,4.5,2,35,1,6.0,10,3.0,3.0,5
T0162,1,4,4.5,2,35,1,8.0,8,3.0,3.0,4.714285714286
T0163,1,1,2.75,2,35,1,12.0,14,1.8,5.0,2.714285714286
T0163,1,2,-8.0,2,35,1,18.0,13,3.4,5.0,2.428571428571
T0163,1,3,3.125,2,35,1,14.0,13,1.4,5.0,2.142857142857
T0163,1,4,3.0,2,35,1,19.0,14,2.8,4.8,2.857142857143
T0164,1,1,3.125,2,35,1,15.0,11,2.8,4.2,3.428571428571
T0164,1,3,3.875,2,35,1,15.0,10,2.4,3.4,3.857142857143
T0164,1,4,3.25,2,35,1,14.0,10,2.0,4.2,3.571428571429
T0165,1,1,3.375,2,35,1,21.0,18,2.6,2.2,3.5
T0165,1,3,3.25,2,35,1,13.0,9,2.4,2.2,3
T0166,0,1,3.875,2,16,1,10.0, ,3.4,3.2,4.142857142857
T0166,0,2,4.0,2,16,1,9.0, ,3.4,3.8,4.428571428571
T0166,0,3,3.5,2,16,1,9.0, ,3.6,3.0,4.285714285714
T0166,0,4,3.75,2,16,1,9.0, ,2.8,3.0,4.285714285714
T0167,0,1,2.75,2,35,1,10.0, ,2.4,3.8,3.285714285714
T0168,0,1,4.125,2,16,1,14.0, ,3.6,4.2,3
T0168,0,2,3.5,2,16,1,15.0, ,2.2,3.2,3.857142857143
T0168,0,3,3.75,2,16,1,13.0, ,2.2,2.8,4
T0168,0,4,3.875,2,16,1,19.0, ,2.8,3.2,3.857142857143
T0169,0,1,3.875,1,1,1,9.0, ,1.8,2.2,3.428571428571
T0169,0,2,3.125,1,1,1,10.0, ,2.0,2.6,4.571428571429
T0170,1,1,3.875,1,1,1,11.0,10,2.0,3.4,3.333333333333
T0170,1,2,3.625,1,1,1,10.0,11,2.0,3.6,3.333333333333
T0170,1,3,3.125,1,1,1,14.0,13,2.2,4.2,3
T0170,1,4,3.625,1,1,1,9.0,10,2.0,3.0,3.666666666667
T0171,0,1,2.75,1,1,1,8.0, ,2.0,4.0,3.571428571429
T0172,1,1,4.375,1,1,1,8.0,8,2.8,3.6,4.142857142857
T0172,1,2,4.625,1,1,1,8.0,8,2.2,3.0,4.142857142857
T0172,1,3,4.5,1,1,1,7.0,8,2.6,4.2,-8
T0172,1,4,4.625,1,1,1,7.0,9,3.0,3.2,3.333333333333
T0173,1,1,2.875,1,1,1,12.0,12,3.8,4.2,2.714285714286
T0173,1,2,3.875,1,1,1,12.0,12,2.4,3.8,3.142857142857
T0173,1,3,4.0,1,1,1,9.0,11,2.2,3.0,3.714285714286
T0173,1,4,4.0,1,1,1,11.0,12,3.0,3.4,3.857142857143
T0174,1,1,4.5,1,1,1,6.0,4,1.0,1.4,4.571428571429
T0174,1,2,4.375,1,1,1,6.0,8,2.0,2.0,4.142857142857
T0174,1,3,5.0,1,1,1,6.0,4,1.0,1.0,4.285714285714
T0174,1,4,4.875,1,1,1,6.0,6,1.8,2.4,4
T0175,1,1,3.625,1,1,1,9.0,7,1.8,3.4,3.666666666667
T0175,1,2,4.625,1,1,1,11.0,7,2.0,2.4,4.142857142857
T0175,1,3,3.75,1,1,1,9.0,7,2.0,2.4,4.285714285714
T0176,1,1,2.5,1,1,1,16.0,10,2.0,3.6,3.428571428571
T0176,1,2,3.125,1,1,1,17.0,10,3.2,4.0,3.142857142857
T0176,1,3,3.75,1,1,1,18.0,12,2.2,4.2,3.142857142857
T0177,0,1,2.875,1,8,1,11.0, ,1.6,4.2,3.666666666667
T0177,0,2,3.75,1,8,1,8.0, ,1.2,2.4,3.666666666667
T0177,0,3,3.625,1,8,1,7.0, ,1.4,2.8,3
T0177,0,4,3.5,1,8,1,11.0, ,1.2,3.4,3.666666666667
T0178,1,1,3.125,1,8,1,14.0,7,2.6,2.8,-8
T0178,1,2,3.25,1,8,1,9.0,9,2.6,2.8,-8
T0178,1,3,3.625,1,8,1,10.0,8,2.0,3.2,-8
T0178,1,4,3.625,1,8,1,12.0,8,2.0,3.0,3.285714285714
T0179,1,1,3.0,1,8,1,8.0,8,2.4,3.4,2.333333333333
T0180,0,1,3.25,1,8,1,8.0, ,2.0,4.0,3
T0180,0,2,3.0,1,8,1,13.0, ,1.8,4.0,3.666666666667
T0180,0,3,3.5,1,8,1,12.0, ,1.8,4.0,3.333333333333
T0180,0,4,3.5,1,8,1,11.0, ,2.0,4.2,3.333333333333
T0181,1,1,-8.0,1,8,1,11.0,9,2.4,2.4,4
T0181,1,2,4.125,1,8,1,9.0,10,3.0,2.6,4.285714285714
T0181,1,3,4.0,1,8,1,12.0,11,3.0,2.8,4.166666666667
T0181,1,4,4.0,1,8,1,9.0,8,2.4,2.4,4.142857142857
T0182,1,1,-8.0,1,8,1,14.0,11,1.8,2.6,4
T0182,1,2,4.5,1,8,1,15.0,10,2.2,4.0,4
T0182,1,3,4.25,1,8,1,13.0,10,3.4,4.2,4
T0182,1,4,4.0,1,8,1,17.0,12,3.0,4.2,4
T0183,1,1,3.125,1,8,1,6.0,5,2.4,4.4,2.666666666667
T0183,1,2,3.0,1,8,1,6.0,6,2.2,2.2,3.666666666667
T0183,1,3,2.625,1,8,1,6.0,5,4.0,3.6,2
T0183,1,4,2.75,1,8,1,6.0,6,3.4,3.4,3.5
T0184,1,1,-8.0,1,8,1,8.0,6,2.0,2.4,4.142857142857
T0184,1,2,5.0,1,8,1,8.0,6,1.8,2.0,4.285714285714
T0184,1,3,4.5,1,8,1,8.0,6,2.0,2.2,4.285714285714
T0184,1,4,4.625,1,8,1,9.0,7,2.0,2.4,4.285714285714
T0185,1,1,4.75,1,8,1,12.0,10,1.8,2.0,4
T0186,1,1,4.5,1,8,1,13.0,8,1.2,1.8,4.142857142857
T0186,1,2,3.625,1,8,1,9.0,8,2.6,2.4,3.5
T0186,1,3,4.5,1,8,1,12.0,6,2.4,3.6,3.571428571429
T0186,1,4,3.25,1,8,1,17.0,13,2.6,3.6,3.285714285714
T0187,1,1,2.875,1,8,1,16.0,11,2.0,3.2,3
T0187,1,3,2.625,1,8,1,11.0,9,1.0,3.0,3
T0187,1,4,3.25,1,8,1,13.0,10,1.4,2.4,3
T0188,0,1,3.625,1,8,1,16.0, ,3.4,3.6,3.428571428571
T0188,0,2,3.25,1,8,1,14.0, ,2.2,2.8,3.571428571429
T0188,0,3,-8.0,1,8,1,15.0, ,2.0,2.6,3.666666666667
T0188,0,4,3.375,1,8,1,16.0, ,2.2,2.8,3.428571428571
T0189,1,1,3.875,1,8,1,8.0,6,2.0,3.2,3.714285714286
T0189,1,2,4.25,1,8,1,9.0,6,2.4,3.4,3.857142857143
T0189,1,3,3.625,1,8,1,9.0,8,2.4,4.2,3.428571428571
T0189,1,4,4.25,1,8,1,7.0,8,3.0,3.2,4
T0190,1,1,3.25,1,8,1,6.0,6,1.0,1.8,4.666666666667
T0190,1,2,3.625,1,8,1,8.0,6,1.0,2.4,4
T0190,1,3,3.5,1,8,1,8.0,7,1.0,2.6,4.666666666667
T0190,1,4,4.0,1,8,1,6.0,5,1.0,1.8,4.666666666667
T0191,1,1,2.375,1,8,1,14.0,16,3.4,4.2,3
T0191,1,2,3.125,1,8,1,14.0,14,2.6,3.8,2.666666666667
T0191,1,3,3.25,1,8,1,17.0,16,3.4,3.2,3.428571428571
T0191,1,4,3.25,1,8,1,15.0,15,3.0,2.6,3.666666666667
T0192,1,1,3.0,1,8,1,16.0,10,2.0,2.2,3.5
T0193,1,1,3.75,1,8,1,12.0,6,1.0,3.8,2.666666666667
T0193,1,2,4.125,1,8,1,10.0,7,1.4,2.2,3.333333333333
T0193,1,3,3.0,1,8,1,12.0,8,1.0,4.0,3
T0193,1,4,3.25,1,8,1,11.0,4,2.4,4.0,3
T0194,1,1,4.375,1,8,1,7.0,4,1.0,1.8,4.428571428571
T0194,1,2,4.25,1,8,1,8.0,5,1.0,2.6,4.571428571429
T0194,1,3,4.25,1,8,1,8.0,5,1.6,2.8,4.428571428571
T0194,1,4,4.125,1,8,1,8.0,7,1.6,2.4,4.285714285714
T0195,0,1,3.5,1,8,1,10.0, ,2.0,2.6,3.571428571429
T0195,0,2,3.125,1,8,1,8.0, ,2.0,2.4,3.571428571429
T0196,1,1,4.25,1,8,1,8.0,9,2.2,2.8,4.666666666667
T0196,1,2,4.0,1,8,1,8.0,5,1.2,2.8,4
T0196,1,3,3.75,1,8,1,6.0,4,2.2,2.6,4
T0196,1,4,3.625,1,8,1,7.0,4,2.0,2.4,4
T0197,1,1,4.5,1,8,1,8.0,6,2.0,1.6,3.666666666667
T0197,1,2,-8.0,1,8,1,7.0,4,2.4,2.6,3.333333333333
T0197,1,3,4.5,1,8,1,8.0,4,1.4,1.6,3.666666666667
T0197,1,4,4.5,1,8,1,6.0,4,1.6,1.4,4.142857142857
T0198,1,1,-8.0,1,8,1,12.0,9,1.6,4.2,-8
T0198,1,2,3.875,1,8,1,11.0,9,2.4,3.6,-8
T0198,1,3,3.875,1,8,1,13.0,8,2.4,4.0,-8
T0198,1,4,4.0,1,8,1,11.0,9,2.4,4.0,-8
T0199,1,1,3.875,1,8,1,9.0,10,2.4,3.8,3.428571428571
T0199,1,3,-8.0,1,8,1,9.0,8,2.0,2.4,3.714285714286
T0200,1,1,3.25,1,8,1,10.0,12,2.2,3.6,3.333333333333
T0200,1,2,2.875,1,8,1,11.0,10,2.2,3.6,3.333333333333
T0200,1,3,3.0,1,8,1,9.0,8,1.4,3.0,4
T0200,1,4,2.875,1,8,1,14.0,10,1.6,3.4,4
T0201,1,1,-8.0,1,8,1,11.0,6,2.0,2.4,4.5
T0201,1,3,4.25,1,8,1,13.0,10,2.0,4.0,3
T0202,1,1,2.625,1,8,1,8.0,9,2.4,2.6,4
T0203,0,1,4.125,1,1,1,9.0, ,1.8,2.2,4
T0203,0,2,4.375,1,1,1,8.0, ,2.0,2.2,4
T0203,0,3,3.875,1,1,1,8.0, ,2.0,2.2,4
T0203,0,4,4.75,1,1,1,8.0, ,2.0,2.0,4.333333333333
T0204,0,1,4.0,1,1,1,8.0, ,2.2,3.0,4.333333333333
T0204,0,2,4.125,1,1,1,9.0, ,3.2,3.8,4.166666666667
T0204,0,3,4.375,1,1,1,9.0, ,2.4,3.4,4.5
T0204,0,4,3.75,1,1,1,10.0, ,2.4,3.6,4
T0205,1,1,5.0,1,1,1,9.0,5,2.0,2.0,4
T0205,1,3,5.0,1,1,1,10.0,8,2.0,2.0,4.666666666667
T0206,0,1,4.0,1,1,1,14.0, ,2.6,5.0,2.857142857143
T0206,0,2,4.375,1,1,1,9.0, ,2.2,3.8,3.428571428571
T0206,0,3,3.5,1,1,1,13.0, ,2.4,4.2,3.571428571429
T0206,0,4,3.75,1,1,1,11.0, ,2.2,4.0,3.571428571429
T0207,1,1,3.375,1,1,1,10.0,5,1.6,4.6,2.571428571429
T0207,1,2,3.375,1,1,1,6.0,5,1.2,2.8,3.428571428571
T0207,1,3,3.25,1,1,1,8.0,5,1.6,3.8,3.285714285714
T0207,1,4,3.0,1,1,1,7.0,6,1.6,2.6,3.285714285714
T0208,1,1,2.75,1,1,1,12.0,6,2.4,3.0,3.142857142857
T0209,1,1,2.75,1,1,1,16.0,12,2.2,4.0,3
T0209,1,2,3.25,1,1,1,14.0,11,1.8,3.6,3
T0209,1,3,3.0,1,1,1,16.0,11,2.0,3.6,3.142857142857
T0209,1,4,2.75,1,1,1,15.0,11,2.2,3.0,3.285714285714
T0210,1,1,2.5,1,1,1,13.0,10,2.2,5.0,3
T0210,1,2,3.125,1,1,1,10.0,10,3.2,4.0,3.571428571429
T0210,1,3,3.0,1,1,1,9.0,7,2.2,3.8,3.428571428571
T0210,1,4,3.0,1,1,1,11.0,7,2.6,4.0,3.857142857143
T0211,0,1,4.125,1,1,1,10.0, ,1.0,3.6,4.285714285714
T0211,0,2,-8.0,1,1,1,6.0, ,1.2,2.6,4.285714285714
T0211,0,3,-8.0,1,1,1,8.0, ,1.0,3.2,4.285714285714
T0211,0,4,-8.0,1,1,1,8.0, ,1.0,2.8,3.666666666667
T0212,1,1,3.25,1,1,1,17.0,12,4.2,5.0,3
T0212,1,2,3.5,1,1,1,15.0,10,3.4,4.0,3
T0212,1,3,3.625,1,1,1,17.0,13,3.8,3.8,3.142857142857
T0212,1,4,3.5,1,1,1,12.0,12,3.6,4.0,3
T0213,1,1,-8.0,1,1,1,21.0,18,2.0,5.0,2.857142857143
T0213,1,2,2.875,1,1,1,14.0,12,1.4,4.8,2.571428571429
T0213,1,3,-8.0,1,1,1,11.0,10,1.0,5.0,2.714285714286
T0214,0,1,3.125,1,8,1,13.0, ,4.2,3.6,3.333333333333
T0214,0,2,3.75,1,8,1,13.0, ,3.4,3.6,2.833333333333
T0214,0,3,3.125,1,8,1,10.0, ,2.6,3.0,3.333333333333
T0214,0,4,2.875,1,8,1,14.0, ,3.4,2.6,3.333333333333
T0215,0,1,3.0,1,1,1,12.0, ,2.8,4.6,3.166666666667
T0215,0,2,3.875,1,1,1,12.0, ,2.4,3.0,3.833333333333
T0215,0,3,4.5,1,1,1,12.0, ,2.2,3.0,4
